"DayOfWeek","Area ID","Reporting District","Victim Age","Victim Sex","Victim Descent","Premise Code","DR Number","MonthOccurred","HourOccurred","ReportingDelay","InjuryStatus","AtIntersection ","CollisionType"
4,18,1842,42,"M","O",101,231818057,10,4,0,"1 - Injury","Yes","Veh vs Veh"
1,9,906,35,"M","H",101,230915282,10,2,0,"0 - No Injury","Yes","Veh vs Veh"
1,18,1841,11,"M","H",101,231804009,1,3,0,"0 - No Injury","Unknown","Veh vs Veh"
3,16,1638,67,"M","B",101,231604067,1,20,1,"1 - Injury","No","Veh vs Ped"
4,11,1141,61,"M","O",101,231104114,1,22,0,"1 - Injury","No","Veh vs Veh"
2,11,1127,25,"M","O",102,231114345,10,20,1,"0 - No Injury","Yes","Veh vs Fixed Object"
5,19,1904,19,"F","H",101,231915510,10,9,0,"0 - No Injury","Unknown","Veh vs Fixed Object"
7,11,1125,33,"F","B",101,231114516,10,0,1,"1 - Injury","Yes","Veh vs Veh"
3,12,1248,30,"F","H",101,231204129,1,17,0,"1 - Injury","Yes","Veh vs Veh"
1,2,281,99,"M","O",101,230204027,1,6,0,"0 - No Injury","Unknown","Veh vs Fixed Object"
4,2,201,50,"M","W",101,230204168,1,22,1,"1 - Injury","Yes","Veh vs Ped"
5,20,2035,59,"F","O",101,232004146,1,7,0,"1 - Injury","No","Veh vs Ped"
2,5,563,51,"M","A",101,230504066,1,18,0,"1 - Injury","Unknown","Veh vs Veh"
6,14,1473,40,"M","O",101,231404147,1,2,0,"0 - No Injury","No","Veh vs Parked Veh"
1,9,955,38,"M","H",101,230915012,10,11,0,"1 - Injury","No","Veh vs Fixed Object"
3,19,1964,19,"M","H",101,231915444,10,19,1,"1 - Injury","Yes","Veh vs Ped"
4,9,966,40,"M","H",101,230915386,10,0,0,"0 - No Injury","No","Veh vs Parked Veh"
6,1,185,50,"M","B",101,230121894,10,20,2,"0 - No Injury","No","Veh vs Fixed Object"
4,15,1595,99,"M","W",101,231504143,1,17,0,"0 - No Injury","No","Veh vs Fixed Object"
1,13,1367,45,"M","H",101,231304012,1,2,0,"0 - No Injury","No","Veh vs Parked Veh"
1,5,587,22,"X","X",101,230504011,1,7,0,"0 - No Injury","No","Veh vs Parked Veh"
1,11,1162,22,"X","X",101,231114296,10,9,0,"0 - No Injury","No","Veh vs Parked Veh"
1,12,1241,50,"F","O",101,231220957,10,20,1,"0 - No Injury","Unknown","Veh vs Parked Veh"
7,14,1454,27,"M","W",101,231418793,9,1,30,"0 - No Injury","No","Veh vs Veh"
4,13,1331,64,"F","H",101,231304205,1,15,0,"0 - No Injury","No","Veh vs Parked Veh"
6,10,1041,25,"F","H",101,231004194,1,8,0,"0 - No Injury","No","Veh vs Veh"
2,11,1186,99,"M","W",101,231104138,1,7,3,"1 - Injury","Yes","Veh vs Parked Veh"
2,13,1323,50,"M","H",101,231304076,1,16,0,"0 - No Injury","No","Veh vs Parked Veh"
1,7,785,45,"M","H",101,230704023,1,11,0,"0 - No Injury","No","Veh vs Parked Veh"
1,1,111,58,"M","O",101,230104051,1,4,0,"1 - Injury","No","Veh vs Veh"
2,18,1842,18,"M","H",101,231804063,1,0,0,"1 - Injury","Unknown","M/C vs Fixed Object"
1,13,1377,43,"F","W",101,231318977,10,14,0,"1 - Injury","Yes","Veh vs Veh"
3,10,1004,18,"F","H",101,231014615,10,10,0,"0 - No Injury","No","Veh vs Veh"
5,5,515,31,"F","H",101,230514838,10,0,0,"1 - Injury","No","Veh vs Veh"
1,18,1837,67,"M","O",101,231817916,10,13,0,"1 - Injury","Yes","Veh vs Veh"
2,13,1346,31,"M","H",101,231304078,1,20,0,"0 - No Injury","Yes","Veh vs Veh"
7,2,231,37,"M","F",101,230204247,1,2,0,"1 - Injury","Yes","Veh vs Veh"
1,12,1249,30,"M","H",101,231204046,1,18,1,"0 - No Injury","Unknown","Veh vs Veh"
1,7,767,38,"M","H",101,230704039,1,0,1,"1 - Injury","No","Veh vs Bike"
2,14,1486,24,"M","W",101,231404024,1,19,1,"0 - No Injury","No","Veh vs Parked Veh"
6,21,2103,26,"F","O",101,232115229,10,16,1,"0 - No Injury","No","Veh vs Veh"
7,2,266,27,"M","H",101,230219200,10,22,2,"1 - Injury","Yes","Veh vs Veh"
7,17,1701,41,"M","W",101,231716483,10,23,2,"1 - Injury","No","Veh vs Veh"
5,14,1472,47,"M","O",101,231418977,10,8,0,"0 - No Injury","No","Veh vs Other Object"
4,16,1657,39,"M","O",101,231604101,1,22,1,"1 - Injury","Yes","Veh vs M/C"
7,21,2136,99,"M","O",101,232115078,10,0,4,"0 - No Injury","Yes","Veh vs Fixed Object"
5,7,778,60,"F","H",101,230704188,1,7,0,"1 - Injury","Yes","Veh vs Veh"
1,5,519,56,"M","H",101,230504026,1,2,0,"1 - Injury","No","Veh vs Fixed Object"
1,12,1245,31,"F","B",101,231204045,1,14,0,"1 - Injury","Unknown","Veh vs Veh"
3,13,1303,43,"F","H",101,231319114,10,19,0,"1 - Injury","Yes","Veh vs Ped"
3,15,1524,27,"F","O",101,231515889,10,8,0,"1 - Injury","No","Veh vs Veh"
7,7,721,70,"M","W",101,230715753,10,13,6,"1 - Injury","Yes","Veh vs Bike"
4,17,1735,57,"M","W",101,231716241,10,17,5,"1 - Injury","No","Veh vs Ped"
1,7,702,49,"F","W",101,230704035,1,15,0,"1 - Injury","No","Veh vs Other Object"
2,2,279,36,"M","H",101,230204041,1,1,0,"0 - No Injury","No","Veh vs Parked Veh"
4,8,882,27,"M","H",101,230804152,1,21,1,"1 - Injury","Yes","Veh vs Veh"
6,9,926,36,"M","W",101,230915217,10,15,0,"0 - No Injury","No","Veh vs Veh"
3,19,1983,14,"M","H",101,231915133,10,6,0,"1 - Injury","Yes","Veh vs Ped"
5,15,1521,31,"M","H",103,231504182,1,22,0,"1 - Injury","No","Veh vs Veh"
6,17,1756,61,"M","W",101,231716425,10,8,0,"1 - Injury","No","Veh vs Bike"
2,13,1309,48,"M","H",101,231304088,1,22,1,"1 - Injury","Unknown","Veh vs Fixed Object"
2,13,1341,54,"M","B",101,231304060,1,13,0,"1 - Injury","Yes","Veh vs Veh"
2,11,1141,28,"M","W",101,231104051,1,11,0,"0 - No Injury","No","Veh vs Fixed Object"
6,1,182,28,"M","H",101,230104388,1,10,0,"1 - Injury","Yes","Veh vs Veh"
5,8,817,20,"F","A",101,230804178,1,19,0,"1 - Injury","No","Unknown"
3,14,1454,34,"F","H",101,231404108,1,12,1,"0 - No Injury","No","Veh vs Veh"
2,12,1273,50,"M","O",101,231204111,1,23,1,"0 - No Injury","No","Veh vs Parked Veh"
1,7,777,40,"M","H",101,230704011,1,1,0,"1 - Injury","No","Veh vs Parked Veh"
1,17,1759,24,"F","H",101,231704200,1,3,5,"0 - No Injury","No","Veh vs Parked Veh"
7,2,271,21,"F","H",101,230219146,10,15,0,"0 - No Injury","No","Veh vs Veh"
6,15,1532,38,"M","W",101,231516067,10,14,0,"0 - No Injury","No","Veh vs Veh"
7,9,905,37,"F","H",101,230915235,10,17,0,"1 - Injury","Unknown","Veh vs Ped"
3,2,248,36,"M","H",101,230218946,10,13,0,"1 - Injury","Yes","Veh vs Veh"
3,1,182,41,"M","W",101,230104115,1,13,0,"1 - Injury","Yes","Veh vs Veh"
6,2,271,52,"F","A",101,230204243,1,17,0,"1 - Injury","No","Veh vs Bike"
2,7,719,35,"M","H",101,230704063,1,19,0,"1 - Injury","Yes","Veh vs Veh"
3,20,2076,37,"M","A",101,232004086,1,10,0,"0 - No Injury","Yes","Veh vs Veh"
1,14,1444,27,"M","O",101,231404012,1,22,1,"1 - Injury","No","Veh vs Veh"
6,13,1394,29,"M","W",101,231319259,10,11,0,"0 - No Injury","No","Veh vs Veh"
7,6,669,41,"M","B",101,230616485,10,15,0,"1 - Injury","Yes","Veh vs Ped"
2,5,551,25,"M","W",108,230504041,1,7,0,"0 - No Injury","Unknown","Veh vs Fixed Object"
4,1,121,38,"M","A",101,230104205,1,6,0,"0 - No Injury","No","Veh vs Parked Veh"
6,4,464,36,"F","H",101,230404212,1,19,0,"1 - Injury","No","Veh vs Ped"
1,18,1881,34,"M","O",101,231804015,1,4,0,"1 - Injury","Unknown","Veh vs Fixed Object"
1,12,1268,30,"M","H",101,231204041,1,17,0,"1 - Injury","Unknown","Veh vs Bike"
4,20,2055,66,"M","H",101,232004140,1,13,0,"1 - Injury","No","Veh vs Veh"
1,7,745,33,"F","O",101,230704034,1,16,0,"0 - No Injury","No","Veh vs Parked Veh"
7,17,1705,37,"F","W",101,231716167,10,18,1,"0 - No Injury","Yes","Unknown"
7,8,821,58,"M","W",101,230815582,10,22,1,"1 - Injury","No","Veh vs Veh"
2,15,1526,39,"M","H",101,231516185,10,19,0,"1 - Injury","No","Veh vs Ped"
4,4,423,31,"M","H",101,230413490,10,5,0,"1 - Injury","No","Veh vs Veh"
6,1,161,50,"M","H",101,230121783,10,21,1,"1 - Injury","Yes","Veh vs Veh"
5,7,773,65,"M","B",101,230715878,9,14,25,"0 - No Injury","No","Veh vs Parked Veh"
6,1,185,99,"M","O",101,230104421,1,23,1,"0 - No Injury","No","Veh vs Parked Veh"
3,12,1219,45,"M","H",101,231204120,1,9,0,"0 - No Injury","Unknown","Veh vs Fixed Object"
1,4,439,40,"M","F",101,230404001,1,2,0,"1 - Injury","No","Veh vs Ped"
3,20,2024,67,"F","B",101,232004092,1,6,0,"0 - No Injury","Yes","Veh vs Veh"
4,14,1494,34,"M","H",101,231404131,1,15,1,"1 - Injury","No","Veh vs Ped"
6,5,509,52,"M","W",102,230504213,1,1,0,"0 - No Injury","Unknown","Veh vs Fixed Object"
2,8,829,59,"F","O",101,230815386,10,11,0,"1 - Injury","No","Veh vs Veh"
4,3,378,33,"M","W",101,230317888,10,20,0,"1 - Injury","Yes","Veh vs Veh"
3,1,191,99,"X","X",101,230122042,10,8,0,"0 - No Injury","Yes","Veh vs Parked Veh"
5,13,1367,19,"F","H",101,231304271,1,19,0,"0 - No Injury","No","Veh vs Parked Veh"
5,1,111,52,"M","H",101,230104333,1,16,0,"1 - Injury","No","Veh vs Veh"
5,12,1218,58,"F","H",101,231204226,1,17,0,"1 - Injury","Yes","Veh vs Ped"
7,17,1735,38,"M","O",101,231704239,1,2,0,"0 - No Injury","No","Veh vs Veh"
2,13,1395,32,"M","O",101,231304046,1,8,0,"0 - No Injury","No","Veh vs Fixed Object"
3,13,1303,47,"M","O",101,231304101,1,11,0,"0 - No Injury","Unknown","Veh vs Parked Veh"
1,2,257,37,"F","H",101,230204172,1,1,4,"1 - Injury","Yes","Veh vs Veh"
2,3,318,52,"M","W",101,230304069,1,12,0,"0 - No Injury","Unknown","Veh vs Fixed Object"
2,20,2091,28,"M","W",101,232004034,1,1,0,"0 - No Injury","No","Veh vs Veh"
4,2,201,73,"M","H",101,230204154,1,12,0,"1 - Injury","No","Veh vs Veh"
4,11,1128,22,"M","H",101,231104112,1,15,0,"1 - Injury","No","Veh vs Veh"
3,3,363,48,"F","B",108,230318240,10,7,7,"1 - Injury","Unknown","Veh vs Ped"
7,17,1705,99,"M","O",101,231716451,10,2,0,"0 - No Injury","No","Veh vs Veh"
3,17,1755,22,"F","W",101,231716548,10,15,0,"1 - Injury","Unknown","Veh vs Veh"
5,9,952,30,"M","B",101,230915002,10,16,2,"1 - Injury","Yes","Unknown"
7,21,2157,44,"M","H",101,232115247,10,20,0,"1 - Injury","No","Veh vs Veh"
6,14,1473,44,"M","O",101,231418366,10,10,0,"1 - Injury","No","Veh vs Veh"
1,13,1331,25,"M","O",102,231318659,10,23,1,"0 - No Injury","Unknown","Veh vs Fixed Object"
1,7,774,60,"F","B",101,230715818,10,2,0,"0 - No Injury","No","Veh vs Parked Veh"
2,13,1385,18,"M","H",101,231319037,10,17,0,"1 - Injury","Unknown","Veh vs Bike"
5,7,719,38,"F","H",101,230715432,10,15,6,"1 - Injury","No","Veh vs Veh"
4,4,469,28,"M","H",101,230404148,1,17,0,"0 - No Injury","Yes","Veh vs Veh"
4,4,438,43,"F","H",101,230404149,1,17,0,"1 - Injury","No","Veh vs Veh"
4,5,526,27,"M","H",101,230504193,1,6,1,"1 - Injury","Unknown","Unknown"
2,15,1503,50,"M","W",101,231516491,10,9,0,"0 - No Injury","No","Veh vs Fixed Object"
3,9,929,43,"M","W",101,230904097,1,21,1,"1 - Injury","Yes","Veh vs Veh"
4,7,706,24,"F","B",101,230704148,1,11,0,"1 - Injury","Yes","Veh vs Veh"
1,9,926,58,"M","H",101,230904005,1,6,0,"0 - No Injury","Yes","Veh vs Veh"
1,8,897,27,"M","H",101,230804001,1,2,0,"0 - No Injury","No","Veh vs Veh"
4,8,881,26,"F","B",108,230804157,1,15,1,"1 - Injury","No","Veh vs Ped"
4,6,646,53,"M","H",101,230604159,1,19,1,"1 - Injury","No","Veh vs Ped"
2,9,984,25,"F","W",101,230904026,1,0,0,"0 - No Injury","No","Veh vs Parked Veh"
4,9,909,99,"M","W",101,230904100,1,0,0,"0 - No Injury","No","Veh vs Parked Veh"
5,9,901,36,"F","O",101,230904171,1,14,0,"0 - No Injury","Yes","Veh vs Veh"
2,10,1063,48,"F","O",101,231004071,1,18,0,"1 - Injury","Yes","Veh vs Veh"
3,10,1024,99,"X","O",101,231004108,1,16,0,"0 - No Injury","No","Veh vs Fixed Object"
6,10,1063,57,"M","W",101,231004195,1,17,0,"1 - Injury","No","M/C vs Fixed Object"
2,15,1519,49,"M","O",101,231504088,1,22,1,"0 - No Injury","Yes","Veh vs Veh"
7,10,1029,52,"F","H",101,231004205,1,1,0,"0 - No Injury","Yes","Veh vs Veh"
6,12,1213,50,"M","H",101,231204276,1,17,0,"0 - No Injury","Unknown","Veh vs Fixed Object"
4,12,1204,99,"M","O",102,231204165,1,13,0,"0 - No Injury","Unknown","Veh vs Fixed Object"
4,12,1259,57,"F","H",101,231204179,1,20,1,"1 - Injury","Yes","Veh vs Veh"
1,14,1431,74,"M","W",101,231404011,1,22,1,"1 - Injury","No","Veh vs Ped"
3,14,1433,19,"M","B",101,231404070,1,15,0,"1 - Injury","Yes","Veh vs Veh"
1,16,1653,35,"M","H",101,231604016,1,13,0,"1 - Injury","No","Veh vs M/C"
2,16,1668,47,"M","H",101,231604042,1,23,1,"0 - No Injury","No","Veh vs Parked Veh"
4,17,1701,22,"F","B",101,231704110,1,1,0,"0 - No Injury","No","Veh vs Fixed Object"
4,17,1708,99,"M","O",102,231704111,1,3,0,"0 - No Injury","No","Veh vs Fixed Object"
1,18,1841,28,"F","B",101,231804034,1,8,0,"0 - No Injury","Unknown","Veh vs Veh"
2,19,1921,23,"M","W",101,231904037,1,9,0,"0 - No Injury","No","Veh vs Fixed Object"
3,16,1689,48,"M","W",101,231604060,1,18,0,"1 - Injury","No","Veh vs Ped"
3,17,1775,42,"M","H",101,231704108,1,15,0,"0 - No Injury","No","Veh vs Veh"
5,18,1824,79,"M","H",101,231804326,1,8,0,"0 - No Injury","Unknown","Veh vs Fixed Object"
2,18,1829,34,"M","H",101,231804402,1,19,5,"0 - No Injury","Unknown","Veh vs Fixed Object"
1,16,1684,44,"M","H",101,231604017,1,18,0,"1 - Injury","No","Veh vs Ped"
3,19,1901,30,"M","W",101,231904086,1,9,0,"1 - Injury","No","Veh vs Fixed Object"
3,19,1931,60,"M","H",101,231904090,1,15,0,"0 - No Injury","No","Veh vs Veh"
3,19,1911,37,"M","W",101,231904092,1,17,0,"1 - Injury","Yes","Veh vs Veh"
3,19,1999,99,"M","O",108,231904095,1,23,1,"0 - No Injury","No","Veh vs Fixed Object"
7,19,1925,34,"M","H",101,231904213,1,9,0,"0 - No Injury","No","Veh vs Veh"
5,21,2158,27,"F","H",101,232104129,1,8,0,"1 - Injury","Yes","Veh vs Veh"
4,19,1919,67,"M","W",101,231904140,1,14,0,"0 - No Injury","No","Veh vs Veh"
5,19,1998,63,"F","A",101,231904183,1,13,0,"0 - No Injury","No","Veh vs Veh"
3,21,2128,50,"F","H",101,232104043,1,0,0,"0 - No Injury","No","Veh vs Parked Veh"
4,20,2071,50,"M","H",101,232004106,1,3,0,"0 - No Injury","No","Veh vs Parked Veh"
4,19,1972,65,"F","H",101,231904147,1,12,0,"0 - No Injury","No","Veh vs Parked Veh"
6,15,1583,31,"F","W",101,231504372,1,13,4,"0 - No Injury","No","Veh vs Veh"
1,21,2149,33,"M","H",101,232104027,1,18,1,"0 - No Injury","No","Veh vs Parked Veh"
1,1,162,22,"M","W",101,230104510,1,9,0,"0 - No Injury","Unknown","Veh vs Fixed Object"
2,9,905,42,"M","H",101,230904315,1,21,1,"0 - No Injury","No","Veh vs Parked Veh"
6,11,1162,22,"F","O",101,231104495,1,13,0,"0 - No Injury","Yes","Veh vs Parked Veh"
6,21,2173,30,"F","W",101,232104429,1,10,0,"0 - No Injury","No","Veh vs Parked Veh"
4,6,645,60,"M","H",101,230604448,1,17,1,"0 - No Injury","No","Veh vs Veh"
2,21,2148,40,"M","H",101,232104297,1,0,1,"0 - No Injury","No","Veh vs Parked Veh"
3,14,1432,28,"M","W",101,231404235,1,7,0,"1 - Injury","No","Veh vs M/C"
4,15,1533,40,"F","W",102,231504418,1,23,1,"0 - No Injury","No","Veh vs Fixed Object"
1,17,1794,23,"F","H",101,231704004,1,7,0,"1 - Injury","No","Veh vs Veh"
7,20,2017,45,"M","H",101,232004198,1,1,0,"0 - No Injury","No","Veh vs Parked Veh"
1,21,2106,23,"M","O",101,232104255,1,21,1,"1 - Injury","No","Veh vs Ped"
1,19,1962,40,"F","H",101,231904023,1,17,0,"0 - No Injury","No","Veh vs Veh"
5,12,1239,29,"M","H",101,231204637,1,7,0,"0 - No Injury","Unknown","Veh vs Fixed Object"
7,18,1831,46,"F","H",101,231804457,1,22,1,"1 - Injury","Unknown","Veh vs Parked Veh"
1,18,1822,27,"F","H",101,231804500,1,22,1,"1 - Injury","Yes","Veh vs Veh"
5,7,715,33,"M","H",101,230704472,1,12,0,"0 - No Injury","No","Veh vs Veh"
3,1,138,49,"F","B",101,230104677,1,22,1,"1 - Injury","No","Veh vs Veh"
7,2,248,27,"M","B",101,230204258,1,19,0,"1 - Injury","No","Veh vs Parked Veh"
1,15,1532,24,"M","W",101,231504294,1,20,1,"1 - Injury","No","Veh vs Fixed Object"
1,9,971,23,"M","H",101,230904025,1,22,1,"0 - No Injury","No","Veh vs Fixed Object"
7,12,1243,23,"F","H",101,231204348,1,15,1,"1 - Injury","Yes","Veh vs Veh"
3,19,1981,22,"X","X",101,231904405,1,22,1,"1 - Injury","No","Veh vs Parked Veh"
7,8,832,30,"M","B",101,230804232,1,18,1,"1 - Injury","No","Veh vs Ped"
1,6,644,39,"M","W",101,230604220,1,2,5,"1 - Injury","Yes","Veh vs Veh"
3,6,646,29,"F","H",101,230604388,1,15,0,"1 - Injury","No","Veh vs Veh"
2,15,1524,37,"F","W",101,231504103,1,15,1,"0 - No Injury","No","Veh vs Veh"
1,9,904,22,"F","H",101,230904033,1,18,1,"0 - No Injury","No","Veh vs Parked Veh"
2,19,1959,36,"M","W",101,231904343,1,19,0,"0 - No Injury","No","Veh vs Veh"
2,17,1765,50,"M","W",101,231704029,1,7,0,"1 - Injury","Yes","Veh vs Veh"
1,19,1958,23,"F","B",101,231904089,1,9,2,"0 - No Injury","No","Veh vs Parked Veh"
1,2,221,25,"M","A",101,230204261,1,0,0,"0 - No Injury","No","Veh vs Parked Veh"
6,4,424,66,"M","H",101,230404428,1,7,0,"0 - No Injury","No","Veh vs Veh"
3,18,1827,40,"M","H",101,231804566,1,12,0,"0 - No Injury","Unknown","Veh vs Fixed Object"
3,6,649,31,"M","H",101,230604401,1,21,1,"0 - No Injury","No","Veh vs Veh"
2,17,1723,40,"M","H",101,231704324,1,15,0,"0 - No Injury","Yes","Veh vs Veh"
4,20,2023,54,"F","B",101,232004352,1,8,0,"0 - No Injury","No","Veh vs Veh"
1,1,195,27,"M","B",101,230104513,1,12,0,"1 - Injury","Yes","Veh vs Bike"
3,5,519,61,"M","B",101,230504365,1,8,0,"0 - No Injury","Unknown","Veh vs Veh"
5,7,759,57,"F","O",101,230704211,1,17,0,"1 - Injury","No","Veh vs Ped"
7,6,639,21,"M","W",101,230604267,1,12,0,"1 - Injury","No","Veh vs Veh"
3,8,884,25,"M","A",108,230804343,1,8,8,"0 - No Injury","No","Veh vs Parked Veh"
6,16,1684,40,"M","W",101,231604183,1,14,4,"0 - No Injury","No","Veh vs Parked Veh"
2,12,1263,57,"F","A",101,231204598,1,15,2,"1 - Injury","Unknown","Veh vs Ped"
5,12,1218,28,"F","B",101,231204653,1,14,0,"1 - Injury","Unknown","Veh vs Veh"
5,20,2038,68,"M","A",101,232004160,1,13,0,"1 - Injury","No","Veh vs Veh"
1,20,2014,58,"M","H",101,232004274,1,18,0,"1 - Injury","No","Veh vs Veh"
4,7,785,22,"M","A",101,230704178,1,23,6,"0 - No Injury","No","Veh vs Parked Veh"
3,10,1029,54,"M","A",101,231004475,1,8,3,"0 - No Injury","No","Veh vs Veh"
7,17,1781,99,"F","O",102,231704457,1,0,0,"1 - Injury","No","Veh vs Fixed Object"
6,2,205,22,"M","H",101,230204506,1,19,1,"1 - Injury","Yes","Veh vs Veh"
7,21,2196,45,"M","H",101,232104207,1,8,0,"0 - No Injury","No","Veh vs Parked Veh"
4,14,1486,24,"F","B",101,231404339,1,22,1,"1 - Injury","Yes","Veh vs Veh"
1,21,2114,25,"F","B",101,232115561,10,21,1,"1 - Injury","Yes","Veh vs Veh"
2,21,2187,38,"M","O",101,232115593,10,20,1,"1 - Injury","No","Veh vs Ped"
2,17,1715,49,"M","O",101,231704331,1,23,1,"1 - Injury","No","Veh vs Veh"
4,9,929,56,"F","O",101,230904387,1,14,0,"1 - Injury","No","Veh vs Veh"
4,11,1171,99,"M","H",101,231104406,1,14,0,"0 - No Injury","No","Veh vs Parked Veh"
3,19,1991,28,"F","H",101,231904403,1,22,1,"1 - Injury","No","Veh vs Veh"
5,8,852,67,"M","H",101,230804396,1,9,0,"1 - Injury","Yes","Veh vs Veh"
7,7,726,40,"F","H",101,230704423,1,23,4,"0 - No Injury","No","Veh vs Parked Veh"
2,10,1007,27,"M","O",101,231004314,1,6,0,"1 - Injury","Yes","Veh vs Veh"
3,1,133,25,"M","O",102,230122183,10,4,2,"0 - No Injury","No","Veh vs Fixed Object"
5,2,269,55,"M","A",101,230204457,1,6,0,"1 - Injury","No","Veh vs Ped"
6,4,464,48,"F","W",101,230404319,1,7,4,"0 - No Injury","Yes","Veh vs Veh"
3,16,1658,41,"M","O",101,231604295,1,14,0,"1 - Injury","No","Veh vs Veh"
2,6,659,53,"M","H",101,230604423,1,20,2,"1 - Injury","Yes","Veh vs Ped"
1,12,1243,27,"M","B",101,231204416,1,3,1,"0 - No Injury","Unknown","Veh vs Veh"
7,11,1157,42,"M","H",101,231104244,1,23,1,"1 - Injury","Yes","Veh vs Veh"
6,1,159,41,"F","W",101,230122322,10,16,0,"1 - Injury","No","Veh vs Veh"
6,1,143,33,"M","B",101,230122340,10,23,1,"0 - No Injury","Yes","Veh vs Veh"
3,5,523,30,"F","B",101,230504373,1,12,0,"1 - Injury","Unknown","Veh vs Veh"
3,8,819,41,"M","O",101,230804098,1,21,1,"1 - Injury","No","Veh vs Ped"
1,9,948,45,"M","W",101,230904291,1,21,0,"0 - No Injury","No","Veh vs Parked Veh"
2,21,2134,27,"M","W",101,232104264,1,2,0,"1 - Injury","No","Veh vs Fixed Object"
6,6,642,46,"F","H",101,230604223,1,12,0,"0 - No Injury","No","Veh vs Parked Veh"
7,17,1795,37,"M","H",101,231704253,1,19,1,"0 - No Injury","No","Veh vs Parked Veh"
4,20,2058,70,"M","A",101,232004141,1,20,0,"1 - Injury","No","Veh vs Veh"
5,2,269,54,"M","H",101,230219444,10,21,0,"1 - Injury","Yes","Veh vs Veh"
6,2,201,30,"F","H",101,230219459,10,15,0,"1 - Injury","No","Veh vs Bike"
7,2,201,40,"M","W",101,230219475,10,2,0,"1 - Injury","Yes","Veh vs Veh"
2,17,1768,45,"M","W",101,231704327,1,19,1,"0 - No Injury","No","Veh vs Parked Veh"
6,21,2145,44,"F","W",101,232104185,1,15,0,"1 - Injury","Yes","Veh vs Ped"
1,15,1523,24,"F","O",101,231504265,1,7,0,"1 - Injury","No","Veh vs Fixed Object"
1,20,2035,30,"M","H",101,232004276,1,23,1,"1 - Injury","No","Veh vs Ped"
4,7,777,33,"F","H",101,230704445,1,14,0,"0 - No Injury","No","Veh vs Veh"
5,12,1256,53,"F","H",101,231204666,1,14,0,"1 - Injury","Unknown","Veh vs Ped"
7,18,1842,41,"M","H",101,231804773,1,13,0,"1 - Injury","No","Veh vs Fixed Object"
2,6,648,87,"F","H",101,230604338,1,6,0,"1 - Injury","Yes","Veh vs Ped"
4,8,851,53,"M","H",101,230804394,1,16,1,"0 - No Injury","No","Veh vs Parked Veh"
1,5,507,20,"M","H",101,230504391,1,18,3,"0 - No Injury","Unknown","Veh vs Veh"
6,20,2054,28,"M","H",101,232004405,1,11,0,"0 - No Injury","No","Veh vs Veh"
4,17,1791,60,"M","W",101,231704384,1,20,1,"1 - Injury","Yes","Veh vs M/C"
1,20,2056,69,"M","O",101,232004270,1,15,0,"1 - Injury","No","Veh vs Ped"
3,19,1989,34,"M","B",101,231904400,1,23,1,"1 - Injury","Yes","Veh vs Ped"
1,3,334,40,"M","O",101,230318236,10,21,2,"0 - No Injury","No","Veh vs Parked Veh"
7,11,1134,30,"M","B",101,231104505,1,3,0,"0 - No Injury","No","Veh vs Fixed Object"
1,8,851,34,"M","W",101,230804146,1,1,3,"1 - Injury","Yes","Veh vs Veh"
2,12,1259,60,"F","H",101,231204502,1,23,1,"0 - No Injury","Unknown","Veh vs Veh"
1,9,952,42,"M","W",101,230904271,1,8,0,"0 - No Injury","No","Veh vs Parked Veh"
2,2,233,40,"F","H",101,230204336,1,17,0,"0 - No Injury","No","Veh vs Parked Veh"
1,8,829,46,"M","W",101,230804267,1,14,0,"1 - Injury","No","Veh vs Bike"
6,19,1981,99,"F","H",101,231904209,1,7,0,"1 - Injury","No","M/C vs Other"
1,3,357,20,"M","A",102,230304364,1,16,0,"1 - Injury","No","Veh vs Veh"
3,7,738,26,"M","H",101,230704402,1,22,0,"1 - Injury","Yes","Veh vs Veh"
1,16,1651,47,"M","H",101,231604243,1,21,1,"0 - No Injury","No","Veh vs Veh"
2,18,1862,23,"F","B",101,231804510,1,0,0,"0 - No Injury","No","Veh vs Veh"
1,4,407,19,"F","H",101,230413577,10,23,5,"1 - Injury","Yes","Veh vs Veh"
7,4,412,73,"M","H",101,230413591,10,10,0,"1 - Injury","Yes","Veh vs Bike"
7,4,477,22,"M","H",101,230413593,10,4,0,"0 - No Injury","No","Veh vs Parked Veh"
1,19,1959,24,"F","H",101,231904003,1,2,0,"0 - No Injury","No","Veh vs Veh"
7,17,1785,99,"F","O",101,231704240,1,7,0,"0 - No Injury","No","Veh vs Veh"
6,15,1535,17,"M","O",101,231504245,1,23,1,"1 - Injury","No","Veh vs Veh"
1,15,1525,37,"M","H",101,231504292,1,20,1,"1 - Injury","Yes","Veh vs Ped"
7,2,281,23,"M","H",101,230204529,1,13,0,"0 - No Injury","Yes","Unknown"
1,4,409,39,"M","H",101,230404273,1,21,1,"1 - Injury","Yes","Veh vs Ped"
2,10,1067,22,"M","H",101,231004350,1,19,0,"0 - No Injury","No","Veh vs Fixed Object"
1,19,1981,40,"F","H",101,231904247,1,1,0,"0 - No Injury","No","Veh vs Veh"
5,1,185,45,"M","H",101,230104788,1,19,1,"1 - Injury","Yes","Veh vs Bike"
4,6,646,41,"M","H",101,230604362,1,19,5,"1 - Injury","No","Veh vs Ped"
